,타워빌리지,타워부메랑고,타워래프트,교차점1,와일드리버풀,교차점2,와일드리버,아쿠아루프,흡연구역1,래프트빌리지,교차점3,키디풀,키디빌리지,스파빌리지,아쿠아틱센터,바하마,라커,산후앙,봅슬레이빌리지,어드벤처빌리지,교차점5,서핑라이드,교차점6,미라클스파,흡연구역2,교차점4,흡연구역3,교차점7,유수풀,어드벤처풀,흡연구역4,캐슬빌리지,메가스톰,교차점8,슬라이드빌리지,카리브스테이지,흡연구역5,웨이브빌리지1,종합대여소,씨웨이브,웨이브빌리지2,교차점9,자켓대여소,라코스타,실외라커동
교차점5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,18,999999,34,999999,999999,999999,43,999999,34,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
서핑라이드,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,999999,18,24,999999,999999,999999,999999,999999,24,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,13,999999,999999,999999,999999,999999,999999,999999,999999,999999,18,999999,22,19,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
미라클스파,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,24,22,999999,28,999999,999999,999999,999999,32,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
흡연구역2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,17,999999,999999,999999,999999,999999,38,999999,999999,19,28,999999,999999,999999,999999,999999,32,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점4,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,23,999999,43,999999,999999,999999,999999,999999,21,999999,999999,999999,77,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
흡연구역3,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,21,999999,40,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점7,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,999999,999999,999999,999999,999999,40,999999,45,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
유수풀,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,45,999999,80,999999,999999,999999,31,999999,999999,63,999999,999999,999999,999999,999999,999999,999999,999999
어드벤처풀,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,32,32,999999,999999,999999,80,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,82
흡연구역4,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,77,999999,999999,999999,999999,999999,9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
캐슬빌리지,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,9,999999,35,28,47,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
메가스톰,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,35,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점8,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,31,999999,999999,28,999999,999999,999999,36,999999,999999,999999,999999,999999,999999,999999,999999,999999
슬라이드빌리지,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,47,999999,999999,999999,999999,999999,49,999999,999999,999999,999999,999999,999999,999999
카리브스테이지,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,36,999999,999999,40,78,999999,999999,999999,999999,999999,999999,999999
흡연구역5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,63,999999,999999,999999,999999,999999,999999,40,999999,999999,69,999999,999999,999999,999999,999999,999999
웨이브빌리지1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,49,78,999999,999999,999999,69,999999,999999,999999,999999,999999
종합대여소,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,69,999999,999999,32,999999,23,999999,999999,999999
씨웨이브,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,69,32,999999,38,24,33,999999,999999
웨이브빌리지2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,38,999999,999999,999999,999999,999999
교차점9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,23,24,999999,999999,999999,27,34
자켓대여소,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,33,999999,999999,999999,55,999999
라코스타,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,27,55,999999,42
실외라커동,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,999999,42,999999
